"Structure",Lambda,Avg J_t,Stddev J_t,Avg J_cv,Stddev J_cv,Avg F1_score,Stddev F1_score
"30 4 2 1",0.1,0.10484826285800315,0.004502785684179166,0.20519040408728878,0.036108921172233424,0.9526587838329188,0.03333047295310202
"30 1 4 1",0.1,0.09923261726421063,0.0033813104758964527,0.20553449491457948,0.02885168470148446,0.9688203105900213,0.02688422738909086
"30 1 3 1",0.1,0.10287431086623014,0.005148108530395673,0.20631133984068134,0.03299336247709614,0.9720802547801981,0.030464668849879733
"30 1 1",0.1,0.12141484846922243,0.008299171049631493,0.20815672273430477,0.03486513199924511,0.9647298075970794,0.028334193803017875
"30 4 1",0.1,0.12749875402256453,0.012248952931000043,0.2087672817304762,0.019074318793883438,0.9391404796673258,0.01615747369534046
"30 4 1 1",0.01,0.09349451697245284,0.029219877733874258,0.21007201686610336,0.08016469132230772,0.9157142583141902,0.03628418386934428
"30 1 2 1",0.1,0.1036565937981156,0.004209682072646002,0.21245168965230582,0.019301038632870592,0.9660499861265602,0.016226952437403436
"30 2 1 1",0.1,0.1068656793320164,0.005216158707997049,0.2186997830609223,0.04577680812725529,0.9655764966740576,0.029843102863825362
"30 1 1 1",0.1,0.10973329511205851,0.005404233685406325,0.21969942304057044,0.038632987249714215,0.9665478216243958,0.026472662064446817
"30 5 1 1",0.1,0.1624087937773162,0.1661103129346764,0.2563631962588828,0.13782795171111117,0.870836642087351,0.29131557037772243
"30 3 1 1",0.1,0.16495204744369557,0.16514445732484245,0.25900772270038247,0.13683656272166694,0.8759527861059342,0.2926791305652093
"30 4 1 1",0.1,0.1628246872286474,0.16594390604942558,0.2598607108249146,0.13859213784027624,0.8633766224322095,0.28945785311666133
"30 3 3 1",0.1,0.1795609119429765,0.05339777987558744,0.28959282501509936,0.06213144150084708,0.9360010863312385,0.0388045692475669
"30 5 1",1.0,0.32134021287253706,0.004137639184871189,0.4925552186986736,0.022219751094453385,0.8703402731258956,0.045094781709796736
"30 4 1",1.0,0.32365851797372913,0.004263411373843504,0.4955977724226342,0.025892927852976273,0.9182873224336638,0.03764058822969259
"30 3 1",1.0,0.32722222924026856,0.0029865666504202337,0.49709512751228074,0.022221439605559907,0.9013110478899954,0.037746648015639414
"30 2 1",1.0,0.3415077233976143,0.0037125837051757084,0.5069303270675344,0.021162098934444238,0.8611299459241767,0.048657232592216396
"30 1 1",1.0,0.3670431402632103,0.004091896888373845,0.5263651194621571,0.02710175495184467,0.8791180654338548,0.05505345480149993
"30 3 3 1",1.0,0.6603370731932159,0.00023440362287991952,0.6602993478493357,0.0022777967682878274,0.0,0.0
"30 5 3 1",1.0,0.6603331869486498,0.00025116378664354316,0.6603127421243287,0.002295157225862902,0.0,0.0
"30 1 2 1",1.0,0.6603456529394593,0.0002581839318159362,0.6603144128606255,0.002318499142907805,0.0,0.0
"30 5 2 1",1.0,0.6603393200540856,0.00025980028793391583,0.6603238536416476,0.002329386089558728,0.0,0.0
"30 4 3 1",1.0,0.6603278836436557,0.00025163948702411397,0.6603252209593523,0.0022870713249476286,0.0,0.0
"30 2 3 1",1.0,0.6603697208781611,0.0002145136322002736,0.6603274715059206,0.002295893855394323,0.0,0.0
"30 3 1 1",1.0,0.6603478376058949,0.00026075328158888883,0.6603335394795177,0.00233893704279084,0.0,0.0
"30 1 1 1",1.0,0.6603454887086502,0.00025817443229210946,0.6603362270227415,0.002338766745927251,0.0,0.0
"30 3 2 1",1.0,0.6603468783127759,0.00025205081441513367,0.6603389384847066,0.002322821126553485,0.0,0.0
"30 5 1 1",1.0,0.6603485973684426,0.0002608129721225041,0.6603412291265677,0.0023497221454395335,0.0,0.0
"30 4 1 1",1.0,0.6603490158215667,0.00025839005977989837,0.6603413111038883,0.002344421936001247,0.0,0.0
"30 4 2 1",1.0,0.6603394025359773,0.0002514458563369025,0.6603446641458434,0.002305602023380723,0.0,0.0
