"Structure",Lambda,Avg J_t,Stddev J_t,Avg J_cv,Stddev J_cv,Avg F1_score,Stddev F1_score
"8 3 2 1",1.0,0.6468250011398766,0.00022278562903251995,0.6468399542532308,0.0021563221204143174,0.0,0.0
"8 1 1 1",0.1,0.6468038853650269,0.00023212957022876514,0.6468546484552639,0.002145138538830757,0.0,0.0
"8 3 3 1",1.0,0.6468655075882475,0.00021586851560285994,0.6468878884671312,0.002196272355996672,0.0,0.0
"8 1 2 1",0.1,0.6468134862333623,0.0002282911715056893,0.6468895875712211,0.0021600283231015486,0.0,0.0
"8 2 2 1",1.0,0.6468670773706588,0.00021669239974557778,0.6468933415588471,0.002186643188698427,0.0,0.0
"8 5 3 1",1.0,0.6468815419877522,0.00022847284208862102,0.6468970129373103,0.002213935106417911,0.0,0.0
"8 4 3 1",1.0,0.6469118069245853,0.00021381388045859677,0.6469324974332373,0.002240457433427791,0.0,0.0
"8 5 4 1",1.0,0.6469448290783301,0.0002385725897925717,0.6469580390566877,0.0022597452074866473,0.0,0.0
"8 1 4 1",1.0,0.6469509522832075,0.00021928520298002417,0.6469739767961784,0.0022645351863881053,0.0,0.0
"8 1 3 1",1.0,0.6469583208441856,0.00021095742244823463,0.6469847375752584,0.0022710529775789045,0.0,0.0
"8 4 4 1",1.0,0.6469683817996719,0.00021242405270553385,0.6469922078214887,0.0022812210021255987,0.0,0.0
"8 2 3 1",1.0,0.646966486137565,0.00019682202817754283,0.6470072065014966,0.0022682882016445706,0.0,0.0
"8 3 4 1",1.0,0.6470172309246134,0.00020027753031343152,0.6470438121724037,0.0023111747151983294,0.0,0.0
"8 2 4 1",1.0,0.6470118048773731,0.00017793929126304009,0.6470653287164105,0.002292153816464667,0.0,0.0
"8 2 5 1",1.0,0.647086050886565,0.00016391107887281766,0.6471241982936174,0.0023509145843398365,0.0,0.0
"8 5 5 1",1.0,0.6470926764963532,0.00014738003407147282,0.6471322168024114,0.002353756237629173,0.0,0.0
"8 4 5 1",1.0,0.6470978001003255,0.00011992981258378877,0.6471469562801466,0.0023555437495967843,0.0,0.0
"8 1 5 1",1.0,0.6471038581496227,0.0001256419753433942,0.6471485599674954,0.002359566298128927,0.0,0.0
"8 3 5 1",1.0,0.6471033992779185,0.00013273332584769182,0.6471494598314942,0.0023609158639179605,0.0,0.0
"8 1 1",1.0,0.6453992443403822,0.0022370734670724983,0.6472071451569636,0.002404776318221068,0.0,0.0
"8 4 1",1.0,0.6457867083492868,0.00210359541377613,0.6473568580183034,0.0018611024478497426,0.0,0.0
"8 2 1",1.0,0.644880150435365,0.0024622834581191615,0.6473812843221972,0.002611345457610836,0.0,0.0
"8 5 1",1.0,0.645736130850515,0.002193081854479241,0.6474693756591494,0.0019130858941871225,0.0,0.0
"8 3 1",1.0,0.6448994385855983,0.0033125201521517805,0.647673391610085,0.0026754554761130455,0.0,0.0
