Iterations,J_t
1510,0.07037149202615105
1520,0.07028438779978857
1530,0.07019992361339346
1540,0.07011800178191087
1550,0.07003852880328354
1560,0.06996141515376096
1570,0.0698865750946427
1580,0.06981392648976595
1590,0.06974339063308696
1600,0.06967489208574883
1610,0.06960835852206217
1620,0.06954372058386568
1630,0.06948091174275967
1640,0.0694198681697413
1650,0.06936052861179863
1660,0.06930283427504443
1670,0.06924672871400046
1680,0.06919215772666294
1690,0.06913906925500432
1700,0.0690874132905874
1710,0.0690371417849864
1720,0.06898820856472798
1730,0.06894056925048407
1740,0.06889418118026304
1750,0.06884900333635995
1760,0.06880499627584456
1770,0.06876212206437493
1780,0.06872034421313943
1790,0.06867962761874122
1800,0.06863993850585093
1810,0.06860124437246234
1820,0.06856351393759724
1830,0.06852671709131475
1840,0.06849082484688897
1850,0.06845580929502748
1860,0.06842164356001117
1870,0.06838830175764421
1880,0.0683557589549098
1890,0.06832399113123483
1900,0.06829297514127322
1910,0.06826268867912445
1920,0.06823311024391022
1930,0.06820421910663854
1940,0.06817599527829082
1950,0.06814841947907124
1960,0.06812147310876719
1970,0.06809513821817034
1980,0.06806939748151761
1990,0.06804423416991191
2000,0.06801963212568997
2010,0.06799557573770881
2020,0.06797204991752394
2030,0.06794904007643983
2040,0.06792653210341312
2050,0.06790451234379336
2060,0.06788296757888984
2070,0.0678618850063524
2080,0.06784125222135803
2090,0.06782105719859549
2100,0.0678012882750407
2110,0.06778193413351567
2120,0.06776298378702533
2130,0.06774442656386213
2140,0.06772625209347398
2150,0.06770845029307983
2160,0.0676910113550272
2170,0.06767392573487371
2180,0.06765718414017897
2190,0.0676407775199878
2200,0.0676246970549859
2210,0.06760893414830309
2220,0.06759348041694073
2230,0.06757832768379483
2240,0.06756346797024634
2250,0.06754889348928725
2260,0.06753459663914882
2270,0.06752056999739933
2280,0.06750680631547676
2290,0.06749329851361863
2300,0.06748003967615702
2310,0.06746702304714138
2320,0.06745424202625573
2330,0.06744169016499622
2340,0.06742936116307742
2350,0.06741724886503633
2360,0.0674053472570077
2370,0.06739365046363999
2380,0.06738215274513253
2390,0.06737084849437033
2400,0.06735973223413612
2410,0.0673487986143852
2420,0.06733804240956721
2430,0.06732745851598455
2440,0.06731704194917795
2450,0.0673067878413302
2460,0.06729669143868613
